id,bang_1,bang_2,bang_3,bang_4,bang_5,bang_6,bang_7,bang_8,bang_9,bang_10,bang_11,bang_12,bang_13,bang_14,bang_15,bang_16,bang_17,bang_18
1,1,1,1,6,7,7,5,4,5,6,6,6,1,1,1,3,4,4
2,7,6,7,7,2,4,7,7,7,1,1,1,7,7,7,1,1,1
3,2,1,3,5,6,5,3,1,2,2,5,4,1,1,1,7,6,7
4,7,7,7,2,5,3,7,6,6,1,1,4,4,5,6,1,1,1
5,2,2,2,2,2,3,6,6,6,3,3,4,6,5,6,7,2,5
6,4,3,4,3,3,3,4,3,4,4,3,4,4,3,3,3,3,3
7,7,7,7,3,4,2,1,2,1,1,2,4,1,1,1,1,1,1
8,3,4,3,5,4,4,4,5,5,4,4,4,5,3,5,3,2,3
9,6,7,6,4,2,3,4,6,7,1,3,3,3,4,4,1,6,4
10,5,4,6,4,4,5,4,5,5,5,5,5,6,5,5,5,6,6
11,5,5,3,4,5,3,5,5,5,5,4,4,3,5,6,2,3,5
12,7,6,7,1,3,1,6,6,6,3,1,2,6,5,6,1,1,2
13,5,5,6,3,6,6,5,6,4,5,3,6,6,6,6,4,3,6
14,7,6,6,2,1,2,6,7,7,1,2,2,4,4,5,1,2,4
15,7,7,7,1,2,2,6,6,5,1,2,2,1,1,2,1,1,1
16,5,5,5,1,1,1,7,4,4,2,1,2,6,6,7,1,1,1
17,5,5,4,7,5,3,4,4,5,3,5,4,5,5,6,4,4,5
18,7,7,6,1,1,4,7,7,7,1,5,1,3,7,4,5,1,5
19,7,7,7,1,1,1,7,4,7,5,1,1,1,1,6,7,2,6
20,7,7,6,3,3,4,7,6,6,3,3,3,5,5,6,2,1,3
21,7,7,7,1,2,2,6,7,7,1,3,3,4,4,1,1,1,1
22,6,5,5,4,5,5,4,4,4,2,4,5,2,3,3,4,3,4
23,4,4,5,6,5,5,5,2,2,6,3,7,6,5,2,2,3,5
24,3,4,5,3,3,3,3,7,6,5,4,4,3,3,4,6,5,5
25,6,6,6,3,4,2,6,6,6,2,1,2,6,6,6,5,1,4
26,3,1,2,5,5,5,2,1,1,2,6,2,1,2,1,7,2,2
27,6,7,7,5,2,6,5,6,5,6,5,5,5,5,6,2,6,2
28,1,1,1,7,7,1,7,3,2,1,1,1,1,1,1,4,4,2
29,6,6,5,1,2,1,6,7,7,2,2,2,1,2,1,5,1,5
30,6,4,4,4,5,5,5,6,4,6,6,6,5,4,4,7,4,5
31,6,6,6,1,2,1,6,5,5,2,1,2,3,4,4,1,1,1
32,5,5,5,3,4,6,5,5,5,5,5,5,3,3,3,6,4,5
33,2,2,2,5,5,6,1,5,5,5,5,4,5,1,5,1,2,2
34,6,6,6,1,1,1,5,6,6,1,1,1,4,4,4,1,1,1
35,5,5,5,4,4,5,5,7,6,5,5,5,5,5,6,4,4,4
36,6,6,6,1,2,2,6,6,6,3,6,5,2,1,5,1,1,1
37,5,5,5,5,4,4,3,1,4,6,5,7,4,1,1,5,5,5
38,2,2,3,6,7,7,5,2,1,1,1,5,1,1,1,7,2,2
39,7,7,7,3,2,2,6,6,5,2,3,3,2,2,3,1,2,1
40,6,7,5,3,1,5,7,7,6,2,2,2,6,6,6,2,2,5
41,7,7,4,1,2,3,6,6,5,2,2,3,6,6,4,1,1,1
42,7,7,7,1,4,7,6,6,6,3,5,2,6,7,2,5,2,1
43,6,6,6,2,4,5,4,3,5,6,5,7,4,5,4,5,1,4
44,6,6,5,1,2,6,6,6,5,5,5,5,5,3,6,1,1,2
45,6,5,3,5,5,5,1,4,2,3,4,7,2,4,2,7,5,6
46,6,5,5,5,4,3,6,5,5,2,2,3,5,5,2,5,4,2
47,5,5,2,4,1,5,4,6,7,2,5,5,2,1,3,4,4,2
48,5,5,5,3,4,5,4,5,5,5,2,5,6,5,4,7,5,5
49,4,5,4,5,5,5,5,5,6,5,6,6,2,6,2,6,5,5
50,5,2,3,6,5,6,3,5,5,1,5,3,2,1,1,1,6,1
51,2,3,3,6,6,5,5,5,2,5,2,5,3,2,2,5,6,4
52,2,1,1,5,5,5,1,5,3,1,1,3,1,1,5,1,3,1
53,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
54,3,4,5,5,5,7,5,5,5,1,3,2,5,4,3,1,1,1
55,6,6,6,2,6,4,2,2,2,2,5,2,4,2,2,1,4,1
56,4,5,5,4,4,4,5,4,4,4,4,5,4,4,4,4,4,3
57,2,3,3,4,3,4,5,5,3,3,4,2,2,2,3,2,3,2
58,6,4,5,6,5,6,1,1,1,7,7,7,1,2,1,6,7,5
59,1,1,1,1,2,6,2,2,2,3,7,7,5,3,3,1,2,2
60,5,5,5,2,5,4,6,5,6,1,3,2,1,4,5,2,2,2
61,1,3,5,5,6,2,3,2,2,6,6,5,1,1,1,1,1,1
62,7,6,6,2,2,5,6,6,7,3,2,4,6,6,7,2,2,2
63,5,3,5,3,7,5,3,3,3,2,3,1,3,2,2,6,2,5
64,6,6,5,1,4,5,5,3,5,2,3,2,2,4,1,1,1,4
65,5,5,5,7,5,3,3,3,2,3,7,5,4,5,4,1,1,1
66,5,5,5,5,6,6,5,5,5,5,5,6,6,2,4,4,3,2
67,5,5,5,3,4,2,5,5,5,1,3,3,5,5,5,1,1,1
68,5,5,5,4,5,5,5,5,5,6,5,6,4,4,3,2,3,2
69,3,3,3,5,3,5,4,2,2,3,4,3,1,5,2,4,5,4
70,4,2,3,6,7,5,5,3,1,2,5,3,2,3,4,2,2,2
71,3,3,3,2,3,4,6,6,5,2,6,5,7,5,4,7,5,6
72,7,7,3,7,6,7,7,6,7,1,1,1,4,4,4,1,4,4
73,5,5,5,5,5,4,6,5,5,3,3,5,5,5,2,6,4,5
74,7,5,4,1,5,1,5,5,5,3,1,1,1,1,1,1,1,1
75,7,6,6,1,1,2,6,6,6,1,1,1,4,4,4,1,4,4
76,5,4,4,5,7,5,3,3,3,5,6,6,2,2,3,7,4,6
77,6,6,6,2,3,2,6,7,6,2,2,3,2,2,4,2,2,4
78,2,1,2,3,7,7,1,1,1,7,7,7,4,1,1,6,7,4
79,5,6,5,4,4,4,3,2,5,4,3,3,2,2,4,4,3,4
80,1,1,1,7,7,5,2,1,1,5,2,5,2,1,6,1,3,5
81,2,3,2,6,5,5,5,5,5,7,6,6,2,3,2,1,2,4
82,5,6,5,5,7,7,5,5,1,2,4,2,2,4,1,5,3,3
83,4,7,5,6,5,7,6,6,7,5,4,7,2,2,3,7,3,7
84,2,2,2,6,7,7,1,2,2,6,7,6,1,1,1,4,1,1
85,2,3,3,5,6,5,6,6,4,3,5,3,3,2,5,2,3,2
86,6,6,6,3,6,4,6,5,5,5,5,3,7,6,5,6,4,6
87,5,6,5,3,2,3,5,6,5,3,4,2,5,6,5,2,2,2
88,3,4,3,5,3,4,4,3,5,4,3,4,4,3,3,3,4,4
89,6,5,6,6,6,5,6,5,6,6,3,6,7,6,5,5,2,5
90,5,5,5,1,6,6,4,2,1,3,1,3,1,1,1,1,1,1
91,7,7,7,5,1,5,7,7,7,1,1,1,6,7,7,1,1,1
92,5,5,4,1,3,3,5,5,5,5,5,5,2,2,2,5,2,3
93,5,5,5,3,5,1,3,5,1,3,2,7,1,1,1,6,6,7
94,2,2,4,6,1,7,1,2,3,7,7,7,1,1,1,1,1,1
95,6,6,6,3,3,3,6,6,7,3,2,2,7,7,7,3,2,4
96,5,5,4,2,4,5,5,4,2,5,5,5,6,5,2,6,4,5
97,5,5,5,2,1,4,6,6,6,1,3,3,5,6,5,2,4,4
98,5,5,5,5,2,5,6,5,1,2,3,1,6,6,4,1,2,4
99,3,3,5,7,4,7,3,1,1,7,7,7,4,4,2,4,2,1
100,5,6,5,1,2,4,6,6,6,2,3,1,5,6,5,2,1,1
101,5,5,5,1,5,3,5,5,5,3,4,5,5,3,5,7,1,5
102,6,6,5,1,1,2,7,6,4,2,1,1,7,6,4,3,1,1
103,3,3,3,5,4,6,5,5,3,6,5,6,1,1,4,1,1,1
104,6,6,6,4,4,5,6,5,5,3,4,2,5,5,4,1,4,4
105,6,5,5,3,2,5,5,3,3,2,3,2,3,5,2,4,5,3
106,2,2,2,5,6,6,4,4,3,3,5,3,1,1,1,1,1,1
107,5,5,5,3,2,3,5,6,6,2,2,3,3,5,5,1,4,3
108,6,7,6,1,2,4,7,7,7,1,1,1,4,5,4,1,1,1
109,3,2,2,7,3,5,4,3,5,5,4,6,2,2,2,7,6,5
110,3,4,3,1,1,6,6,7,6,6,7,7,3,1,1,7,1,6
111,7,7,6,1,1,1,7,7,7,1,5,3,5,4,6,1,1,1
112,3,3,3,5,3,3,3,3,5,6,5,5,3,4,3,6,5,6
113,7,7,6,2,1,1,5,5,2,7,2,5,5,6,2,2,2,1
114,1,1,1,7,7,5,1,1,1,5,7,6,1,2,2,3,2,5
115,5,5,5,2,4,6,6,6,4,5,5,6,6,4,2,5,2,5
116,2,1,1,6,7,7,1,2,1,4,4,4,2,4,4,1,4,4
117,6,6,7,1,1,2,7,7,7,1,7,1,6,6,6,2,2,1
118,1,3,4,1,5,4,5,4,5,6,3,6,1,2,1,1,1,1
119,2,2,4,6,6,2,4,1,2,1,2,4,1,1,1,1,1,4
120,5,6,5,3,3,3,6,5,5,3,6,2,5,3,3,3,3,1
121,6,5,5,3,3,2,5,5,5,3,5,6,5,5,5,1,2,1
122,3,3,3,5,2,4,3,3,3,3,6,6,4,5,2,4,4,4
123,5,4,5,6,5,4,5,4,5,7,6,4,5,5,4,5,5,4
124,5,3,4,6,7,5,2,3,2,1,2,1,2,1,1,3,2,1
125,7,6,6,4,2,2,6,6,6,2,3,1,4,4,1,1,5,7
126,6,6,5,5,7,6,6,7,7,2,2,2,3,3,6,6,1,1
127,6,6,6,3,3,4,6,3,1,1,2,2,6,6,1,1,2,2
128,5,5,3,5,5,5,5,3,5,5,5,6,5,6,4,3,4,3
129,3,2,2,5,5,5,3,2,3,3,4,5,3,2,3,4,3,4
130,5,5,5,3,1,5,6,5,5,2,5,7,5,3,5,1,1,3
131,4,3,4,5,4,7,4,5,4,2,6,5,2,3,2,4,4,3
132,2,5,2,5,5,5,1,1,5,2,6,3,4,3,1,2,3,5
133,3,3,4,6,2,4,2,6,5,5,6,3,4,6,4,3,4,4
134,3,3,4,5,6,5,5,3,4,5,4,6,3,3,4,2,4,1
135,6,6,6,2,1,2,6,7,6,2,2,2,4,4,1,1,1,4
136,6,4,5,1,5,5,6,7,4,5,6,4,3,4,5,5,1,6
137,4,5,5,4,4,4,4,5,5,4,4,4,4,4,4,4,5,5
138,1,1,1,5,7,1,4,1,1,1,1,1,1,1,1,1,1,1
139,6,6,5,3,2,5,5,5,6,5,4,5,4,5,4,1,2,2
140,7,7,7,2,2,2,7,5,7,1,7,7,2,6,3,1,2,5
141,7,5,6,1,5,5,5,5,7,3,1,3,3,4,2,4,1,3
142,5,5,4,5,4,4,5,5,4,2,2,5,4,5,5,4,4,5
143,4,2,3,7,5,5,4,4,4,4,4,3,2,5,1,7,5,7
144,5,6,5,4,3,3,5,6,5,4,3,2,2,3,1,7,4,5
145,5,5,5,3,2,2,7,6,6,3,4,6,5,5,1,7,2,7
146,7,7,7,1,4,2,7,7,7,2,4,4,6,4,6,1,1,1
147,6,6,5,1,4,2,6,6,6,2,2,2,4,4,5,1,2,1
148,1,1,1,6,7,7,2,3,1,3,4,5,1,1,1,7,7,7
149,6,6,6,1,1,1,5,5,5,2,2,1,5,5,5,1,1,1
150,7,7,7,2,5,5,7,5,7,2,3,6,7,6,4,1,4,1
151,3,5,3,2,5,3,5,5,5,1,3,3,1,4,2,4,2,4
152,3,3,4,5,4,4,2,6,1,6,1,6,7,1,3,1,1,1
153,5,2,5,7,7,7,6,5,5,7,3,7,6,6,4,4,6,4
154,7,7,7,4,1,4,7,7,7,1,7,3,7,1,7,7,4,7
155,2,2,4,5,5,5,3,2,2,6,7,7,1,2,1,2,5,1
156,6,4,5,3,2,5,7,6,7,6,5,6,6,6,4,7,7,7
157,5,5,6,2,5,2,6,2,2,2,2,3,2,3,1,7,5,6
158,7,6,6,3,3,3,7,7,6,1,1,1,5,6,6,1,2,1
159,6,6,6,2,4,4,6,6,6,3,3,2,4,5,4,3,2,3
160,6,7,6,2,4,6,6,6,6,5,4,6,5,6,5,1,2,4
161,3,4,4,3,3,5,5,5,5,3,5,3,3,5,5,5,3,1
162,5,5,5,3,3,6,7,7,3,6,7,6,5,5,1,7,5,6
163,3,4,4,6,6,5,5,3,1,1,1,3,2,2,3,2,5,2
164,6,5,5,1,1,1,6,6,5,1,1,1,5,6,5,1,1,1
165,4,3,4,5,3,5,3,2,4,5,5,3,5,4,2,5,3,3
166,4,3,3,2,5,5,6,5,4,4,5,5,3,5,2,6,2,5
167,4,3,5,4,3,4,3,3,4,6,4,5,3,4,3,5,3,5
168,5,6,3,4,3,6,5,5,4,4,5,4,4,3,5,4,3,5
169,7,5,6,5,2,5,7,7,7,1,1,1,6,6,6,1,1,1
170,5,3,5,3,3,3,5,5,5,6,6,6,5,5,3,1,2,2
171,7,7,5,7,4,5,5,6,5,6,4,4,3,7,2,7,4,6
172,3,2,4,6,3,6,5,5,3,3,4,2,3,3,3,3,4,2
173,6,6,5,5,7,5,5,5,3,4,4,5,5,3,5,5,3,5
174,6,6,6,1,4,1,6,5,5,1,1,1,5,5,4,1,1,1
175,2,5,5,5,4,2,5,5,5,5,4,5,5,5,2,2,2,5
176,5,4,4,5,7,5,4,4,3,5,4,5,2,5,4,3,4,2
177,3,3,4,7,6,7,5,3,2,1,1,1,1,2,1,2,1,1
178,7,7,6,1,1,1,5,6,6,1,1,1,5,5,5,1,1,1
179,4,5,5,5,3,6,4,5,5,5,6,6,4,4,5,1,5,4
180,6,6,6,1,6,5,5,6,4,4,1,2,4,5,5,1,1,1
181,5,5,5,2,2,2,6,6,6,3,3,5,5,5,6,3,2,3
182,6,6,6,6,7,7,5,7,2,1,1,7,1,5,1,7,6,1
183,6,6,5,2,3,3,5,5,4,1,5,2,4,4,3,6,5,6
184,7,5,4,5,5,5,5,5,5,1,5,6,4,4,4,1,1,4
185,7,7,6,2,5,7,6,7,6,2,3,4,4,6,1,2,3,2
186,7,6,5,2,3,4,6,5,4,4,6,3,7,7,6,7,1,4
187,5,4,5,6,5,5,6,6,6,2,3,4,4,5,2,7,2,4
188,6,5,6,6,5,5,5,4,4,6,6,5,5,6,6,5,5,4
189,6,5,5,4,3,3,4,5,6,4,3,4,6,5,5,3,1,1
190,6,5,5,3,7,5,4,4,2,5,2,4,1,2,2,1,5,1
191,5,5,4,3,3,5,5,5,5,2,5,3,2,3,5,3,4,2
192,4,3,4,6,5,7,2,4,5,5,5,6,4,2,2,6,5,4
193,6,7,6,5,3,2,6,6,5,5,5,3,4,6,3,7,4,4
194,2,2,5,5,4,7,2,1,3,7,7,7,3,4,3,2,3,1
195,1,1,4,5,3,4,5,3,5,5,4,6,4,4,5,5,3,4
196,6,5,6,4,1,1,6,6,6,2,4,1,4,6,1,7,2,6
197,6,6,5,1,1,7,7,6,6,1,6,1,5,6,5,1,1,1
198,6,6,6,3,1,2,6,5,5,1,2,2,5,4,1,1,1,2
199,6,6,5,2,1,2,7,7,7,2,2,2,2,2,2,2,2,2
200,1,1,1,6,7,6,1,1,1,2,6,2,1,1,1,6,6,1
201,5,4,4,2,4,5,6,4,7,5,4,2,6,5,5,7,4,5
202,7,7,7,1,1,1,7,7,7,1,1,1,7,7,1,1,1,1
203,4,2,3,1,3,6,6,5,5,4,4,1,2,6,3,3,2,2
204,5,6,6,1,4,6,7,7,5,1,2,1,6,6,6,1,1,4
205,4,3,3,5,4,7,7,7,7,2,3,3,3,6,6,1,2,1
206,6,6,6,3,5,2,3,6,5,2,2,3,2,2,2,1,2,2
207,6,7,6,3,5,3,7,7,7,5,4,2,5,6,6,1,1,4
208,7,7,7,5,5,4,7,7,7,3,2,1,4,4,1,1,1,2
209,7,5,1,1,1,1,7,7,7,2,1,1,5,5,7,1,1,1
210,4,3,4,2,2,6,3,4,3,5,5,4,3,2,2,4,2,3
